row_index,scene_id,im_id,match_key,score,projection_model,distortion_model,distortion_coefficients,metadata_path,bbox_match_mode,bbox_match_index,bbox_match_distance_px,detection_center_u_px,detection_center_v_px,corrected_center_u_px,corrected_center_v_px,corrected_center_minus_detection_du_px,corrected_center_minus_detection_dv_px,corrected_center_u_metadata_px,corrected_center_v_metadata_px,metadata_minus_detection_du_px,metadata_minus_detection_dv_px,corrected_center_u_pinhole_px,corrected_center_v_pinhole_px,pinhole_minus_detection_du_px,pinhole_minus_detection_dv_px,metadata_minus_pinhole_du_px,metadata_minus_pinhole_dv_px,aligned_gigapose_center_u_px,aligned_gigapose_center_v_px,native_gigapose_center_u_px,native_gigapose_center_v_px,native_gigapose_center_minus_detection_du_px,native_gigapose_center_minus_detection_dv_px,corrected_center_depth_mm,diagnostic_status,diagnostic_error
57,1,243,image_3697586554008,0.99363694,metadata,plumb_bob,-0.194224103098 0.262205816774 -0.00582822487059 0.00192228930548,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/stereo_left/metadata/sample_3697586554008_0.yaml,nearest_projected_center,0,56.87498573500593,255.5,268.0,214.72037827828626,317.56777211777364,-40.77962172171374,49.56777211777364,214.72037827828626,317.56777211777364,-40.77962172171374,49.56777211777364,204.7957497831701,320.50335241843004,-50.704250216829905,52.50335241843004,9.924628495116167,-2.9355803006563974,197.4644917419355,353.43333906892065,301.2441129919109,301.7970431981914,45.744112991910924,33.797043198191375,20248.1746674,ok,
58,1,203,image_3692995755021,0.986879974,metadata,plumb_bob,-0.194224103098 0.262205816774 -0.00582822487059 0.00192228930548,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/stereo_left/metadata/sample_3692995755021_0.yaml,nearest_projected_center,0,19.61820222827107,682.5,253.0,679.4401688810235,284.379155050741,-3.05983111897649,31.37915505074102,679.4401688810235,284.379155050741,-3.05983111897649,31.37915505074102,678.342686275385,284.9482797290918,-4.157313724615051,31.94827972909178,1.097482605638561,-0.5691246783507609,662.4515145831631,294.951202997352,693.3494081030365,269.345158380484,10.849408103036467,16.34515838048401,41317.1195984,ok,
59,1,67,image_3607083678340,0.954773635,metadata,plumb_bob,-0.194224103098 0.262205816774 -0.00582822487059 0.00192228930548,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/stereo_left/metadata/sample_3607083678340_0.yaml,nearest_projected_center,0,4.27505038546144,918.5,317.0,914.7425978264481,326.2033986861876,-3.7574021735518954,9.203398686187597,914.7425978264481,326.2033986861876,-3.7574021735518954,9.203398686187597,914.5746892320501,326.4662455296003,-3.9253107679498953,9.466245529600315,0.16790859439799988,-0.26284684341271713,918.6482618249081,321.9023961894625,920.2366107462901,320.9064355765971,1.7366107462901255,3.9064355765971186,143801.101685,ok,
60,1,205,image_3693204500416,0.981318707,metadata,plumb_bob,-0.194224103098 0.262205816774 -0.00582822487059 0.00192228930548,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/stereo_left/metadata/sample_3693204500416_0.yaml,nearest_projected_center,0,12.296434638432372,667.0,254.5,661.2065090155833,284.2955292585575,-5.793490984416735,29.795529258557508,661.2065090155833,284.2955292585575,-5.793490984416735,29.795529258557508,659.9668348058583,284.9124423711694,-7.033165194141702,30.41244237116939,1.2396742097249671,-0.6169131126118828,661.0483276639144,271.3827753746498,677.2214772580229,261.33547419576433,10.221477258022901,6.835474195764334,40191.2727356,ok,
61,1,176,image_3690289365739,1.0,metadata,plumb_bob,-0.194224103098 0.262205816774 -0.00582822487059 0.00192228930548,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/stereo_left/metadata/sample_3690289365739_0.yaml,nearest_projected_center,0,12.205523871744463,376.5,275.5,375.421750054923,310.34285086693603,-1.0782499450770047,34.84285086693603,375.421750054923,310.34285086693603,-1.0782499450770047,34.84285086693603,369.90101731849234,312.25530172871026,-6.598982681507664,36.755301728710265,5.520732736430659,-1.9124508617742322,382.8833563591876,324.2632076395206,385.2389736314708,284.02086573372577,8.738973631470799,8.52086573372577,53043.7469482,ok,
62,1,51,image_3605483232005,1.0,metadata,plumb_bob,-0.194224103098 0.262205816774 -0.00582822487059 0.00192228930548,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/stereo_left/metadata/sample_3605483232005_0.yaml,nearest_projected_center,0,4.0642769941332,907.0,318.0,904.3926435603543,327.2287424237037,-2.6073564396457414,9.228742423703693,904.3926435603543,327.2287424237037,-2.6073564396457414,9.228742423703693,904.2026938805682,327.50706439595217,-2.7973061194318234,9.50706439595217,0.18994967978608202,-0.2783219722484773,906.577731931679,323.01104947928684,907.578281085501,322.0229266052455,0.5782810855009757,4.022926605245516,140506.652832,ok,
63,1,193,image_3692003758552,0.556584749,metadata,plumb_bob,-0.194224103098 0.262205816774 -0.00582822487059 0.00192228930548,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/stereo_left/metadata/sample_3692003758552_0.yaml,nearest_projected_center,0,9.57216412144395,655.5,257.0,655.647224476679,287.73540196925876,0.14722447667895722,30.73540196925876,655.647224476679,287.73540196925876,0.14722447667895722,30.73540196925876,654.3522966688402,288.3826494016539,-1.1477033311598461,31.382649401653907,1.2949278078388033,-0.6472474323951474,636.3757082190465,269.66712075754805,664.457476789034,260.37489785649524,8.95747678903399,3.374897856495238,45800.0106812,ok,
64,1,248,image_3698195414595,0.576737054,metadata,plumb_bob,-0.194224103098 0.262205816774 -0.00582822487059 0.00192228930548,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/stereo_left/metadata/sample_3698195414595_0.yaml,nearest_projected_center,0,36.070628306651834,206.5,280.0,122.42840588124886,328.5184845825045,-84.07159411875114,48.51848458250453,122.42840588124886,328.5184845825045,-84.07159411875114,48.51848458250453,109.14718029663243,332.2584948896806,-97.35281970336757,52.258494889680605,13.281225584616436,-3.740010307176078,102.74353631040685,355.6471237963416,232.08892870625823,305.42237113454735,25.58892870625823,25.422371134547348,18206.6364288,ok,
65,1,246,image_3697983863877,0.965884218,metadata,plumb_bob,-0.194224103098 0.262205816774 -0.00582822487059 0.00192228930548,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/stereo_left/metadata/sample_3697983863877_0.yaml,nearest_projected_center,0,53.42457003205303,217.0,271.0,160.6139632433575,320.87345349339006,-56.38603675664251,49.87345349339006,160.6139632433575,320.87345349339006,-56.38603675664251,49.87345349339006,148.8163507835676,324.22070579708566,-68.1836492164324,53.22070579708566,11.797612459789889,-3.3472523036955977,134.82090053154207,335.2375007437886,260.11401984899373,302.54942116062216,43.114019848993735,31.54942116062216,18980.9856415,ok,
66,1,199,image_3692589175421,0.934383295,metadata,plumb_bob,-0.194224103098 0.262205816774 -0.00582822487059 0.00192228930548,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/stereo_left/metadata/sample_3692589175421_0.yaml,nearest_projected_center,0,18.307684485451784,698.5,255.5,697.5333969706674,287.55032883741626,-0.9666030293326457,32.05032883741626,697.5333969706674,287.55032883741626,-0.9666030293326457,32.05032883741626,696.5578347293797,288.08636602635886,-1.9421652706203076,32.58636602635886,0.9755622412876619,-0.5360371889426006,692.5906508136843,292.099150950735,709.1376206756742,270.40007844205263,10.637620675674157,14.900078442052632,43318.6302185,ok,
