scene_id,im_id,segment_id,epnp_status,epnp_path,epnp_anchor_available,map_heading_source,map_dot_normal,map_dot_flipped,visual_cost_normal,visual_cost_flipped,gigapose_cost_normal,gigapose_cost_flipped,epnp_cost_normal,epnp_cost_flipped,map_cost_normal,map_cost_flipped,unary_normal,unary_flipped,selected_polarity,orientation_changed,lookahead_path_cost,rotation_change_deg,epnp_error_before_deg,epnp_error_after_deg,translation_change_m
1,211,1,rejected:center_error_px,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/front/EPnPv2_gt_mesh_z_hybrid_labels/3703124046181_0.json,0,epnp_raceline,-0.9665140350635172,0.9665140350635173,5.33582887194163,0.0,31.44475845838689,0.22661118744970465,0.0,0.0,30.297968416490882,0.24565996345733374,93.37465250935406,0.7179311143643721,1,1,3.9560268765227176,179.99999999999997,nan,nan,0.0
1,212,1,rejected:center_error_px,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/front/EPnPv2_gt_mesh_z_hybrid_labels/3703226066658_0.json,0,epnp_raceline,-0.9667111925403397,0.9667111925403398,2.969416042817008,0.0,31.415790632544848,0.22728401651717112,0.0,0.0,30.31414769659898,0.24420545120078455,92.78644003644706,0.7156949189187403,1,1,4.339091342108361,179.99999999999997,nan,nan,0.0
1,213,1,rejected:center_error_px,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/front/EPnPv2_gt_mesh_z_hybrid_labels/3703323369899_0.json,0,epnp_raceline,-0.9669377758654766,0.9669377758654767,4.959594006342877,0.0,31.4262291135985,0.22698584584127543,0.0,0.0,30.332805383069655,0.24253397220290945,93.33173838132353,0.7120537902470944,1,1,4.726227449812876,180.0,nan,nan,0.0
1,214,1,rejected:center_error_px,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/front/EPnPv2_gt_mesh_z_hybrid_labels/3703535760399_0.json,0,epnp_raceline,-0.9673565305368709,0.9673565305368708,5.399142832642925,0.0,31.366143601379953,0.22956904954251592,0.0,0.0,30.367468578902855,0.23944520482935655,93.4508664673464,0.708459459201229,1,1,5.119525455464789,180.0,nan,nan,0.0
1,215,1,rejected:center_error_px,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/front/EPnPv2_gt_mesh_z_hybrid_labels/3703623171296_0.json,0,epnp_raceline,-0.9674982715994843,0.9674982715994842,3.9203092101851995,0.0,28.082936338792134,0.6250879721718425,0.0,0.0,30.37925544037091,0.2383998107873831,89.82152452208025,1.1018875937466088,1,1,5.510657962691667,179.99999999999997,nan,nan,0.0
1,216,1,rejected:center_error_px,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/front/EPnPv2_gt_mesh_z_hybrid_labels/3703724746654_0.json,0,epnp_raceline,-0.967552343995566,0.967552343995566,4.373560651657051,0.0,28.08282005645492,0.6249935408059597,0.0,0.0,30.383759239349306,0.23800101959420114,89.94372869806779,1.100995579994362,1,1,5.517534453500098,180.0,nan,nan,0.0
1,217,1,rejected:center_error_px,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/front/EPnPv2_gt_mesh_z_hybrid_labels/3703823826226_0.json,0,epnp_raceline,-0.967534775498996,0.967534775498996,3.4860386122646663,0.0,28.084757474980954,0.6265698489861152,0.0,0.0,30.38229548271342,0.23813058881871677,89.72085809347396,1.1028310266235488,1,1,5.699341583221357,180.00000000000003,nan,nan,0.0
1,218,1,rejected:center_error_px,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/front/EPnPv2_gt_mesh_z_hybrid_labels/3703939762248_0.json,0,epnp_raceline,-0.9675706491852392,0.9675706491852392,3.1906584817283994,0.0,28.088462657906266,0.6296197598747765,0.0,0.0,30.385284827311235,0.23786601801212448,89.65669693296084,1.1053517958990255,1,1,5.706557312363123,180.0,nan,nan,0.0
1,219,1,rejected:center_error_px,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/front/EPnPv2_gt_mesh_z_hybrid_labels/3704024550694_0.json,0,epnp_raceline,-0.96783478187294,0.9678347818729399,1.408666000643593,0.0,28.086206495404525,0.6277557246699744,0.0,0.0,30.40734973691241,0.23591812087899194,89.25307246939025,1.0995919664279583,1,1,10.857303249056958,180.00000000000003,nan,nan,0.0
1,220,1,rejected:center_error_px,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/front/EPnPv2_gt_mesh_z_hybrid_labels/3704127763734_0.json,0,epnp_raceline,-0.9679946078419831,0.9679946078419831,4.307072631405021,0.0,28.09982718883856,0.6392850081358191,0.0,0.0,30.42074835319884,0.23473953818845048,90.01809205308749,1.10876408451272,1,1,12.489926134300301,180.00000000000003,nan,nan,0.0
