row_index,scene_id,im_id,match_key,score,projection_model,distortion_model,distortion_coefficients,metadata_path,bbox_match_mode,bbox_match_index,bbox_match_distance_px,detection_center_u_px,detection_center_v_px,corrected_center_u_px,corrected_center_v_px,corrected_center_minus_detection_du_px,corrected_center_minus_detection_dv_px,corrected_center_u_metadata_px,corrected_center_v_metadata_px,metadata_minus_detection_du_px,metadata_minus_detection_dv_px,corrected_center_u_pinhole_px,corrected_center_v_pinhole_px,pinhole_minus_detection_du_px,pinhole_minus_detection_dv_px,metadata_minus_pinhole_du_px,metadata_minus_pinhole_dv_px,aligned_gigapose_center_u_px,aligned_gigapose_center_v_px,native_gigapose_center_u_px,native_gigapose_center_v_px,native_gigapose_center_minus_detection_du_px,native_gigapose_center_minus_detection_dv_px,corrected_center_depth_mm,diagnostic_status,diagnostic_error
18,1,124,image_3693927827209,1.0,metadata,equidistant,0.0924905339625 0.131384368102 -0.117522324082 0.137446016536,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/front/metadata/sample_3693927827209_0.yaml,nearest_projected_center,0,6.136013808693127,907.0,165.5,907.7829263928235,173.68502939052726,0.7829263928234695,8.185029390527262,907.7829263928235,173.68502939052726,0.7829263928234695,8.185029390527262,907.2728031486006,173.75165764051653,0.2728031486005875,8.251657640516527,0.510123244222882,-0.06662824998926453,932.2302740405621,168.04052681089468,912.1368363926546,168.85612534562884,5.136836392654573,3.35612534562884,37997.3831177,ok,
19,1,191,image_3701023706744,0.826028154,metadata,equidistant,0.0924905339625 0.131384368102 -0.117522324082 0.137446016536,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/front/metadata/sample_3701023706744_0.yaml,nearest_projected_center,0,28.126446222759586,650.5,196.0,638.3498740384341,203.89106230140644,-12.150125961565891,7.891062301406436,638.3498740384341,203.89106230140644,-12.150125961565891,7.891062301406436,623.8100906318538,205.6082290295411,-26.689909368146232,9.608229029541093,14.53978340658034,-1.7171667281346572,636.9228361000937,211.6199082558883,675.8650610376665,208.1536272642056,25.365061037666464,12.153627264205596,12482.5134277,ok,
20,1,103,image_3691323318781,0.982943284,metadata,equidistant,0.0924905339625 0.131384368102 -0.117522324082 0.137446016536,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/front/metadata/sample_3691323318781_0.yaml,nearest_projected_center,0,7.501904710970444,883.0,165.5,884.909630087007,175.17684994823054,1.9096300870070309,9.67684994823054,884.909630087007,175.17684994823054,1.9096300870070309,9.67684994823054,884.0806614144768,175.27696120730695,1.0806614144768218,9.776961207306954,0.828968672530209,-0.10011125907641372,901.0994308385325,168.4847185261325,888.295399596491,170.81387969434414,5.295399596491052,5.313879694344138,50011.0626221,ok,
21,1,185,image_3700425758960,0.854403825,metadata,equidistant,0.0924905339625 0.131384368102 -0.117522324082 0.137446016536,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/front/metadata/sample_3700425758960_0.yaml,nearest_projected_center,0,49.92846414060828,688.0,193.0,678.6329820408521,201.8626966416369,-9.367017959147915,8.862696641636887,678.6329820408521,201.8626966416369,-9.367017959147915,8.862696641636887,667.9962263554518,203.1999552335891,-20.003773644548232,10.199955233589094,10.636755685400317,-1.3372585919522066,759.3707867230717,211.774920101024,737.2238046346168,201.3587432508171,49.22380463461684,8.3587432508171,14051.9371033,ok,
22,1,112,image_3692327041048,0.907247625,metadata,equidistant,0.0924905339625 0.131384368102 -0.117522324082 0.137446016536,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/front/metadata/sample_3692327041048_0.yaml,nearest_projected_center,0,5.015049056372769,925.5,157.5,927.9314100329069,166.175590156319,2.4314100329069106,8.675590156319004,927.9314100329069,166.175590156319,2.4314100329069106,8.675590156319004,927.6274196899785,166.20167724627623,2.127419689978524,8.701677246276233,0.3039903429283868,-0.026087089957229637,922.8745642176585,166.50947283327912,925.5845514297991,162.5143362565293,0.08455142979914854,5.014336256529305,45554.6836853,ok,
23,1,209,image_3702924319108,0.633030706,metadata,equidistant,0.0924905339625 0.131384368102 -0.117522324082 0.137446016536,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/front/metadata/sample_3702924319108_0.yaml,nearest_projected_center,0,54.61480853897808,492.0,213.5,464.49483327235055,223.89914464613042,-27.505166727649453,10.399144646130424,464.49483327235055,223.89914464613042,-27.505166727649453,10.399144646130424,422.44891169557116,228.82629454949733,-69.55108830442884,15.326294549497334,42.04592157677939,-4.92714990336691,402.4837023571763,231.59502403918856,546.6141529858064,213.76759183875083,54.61415298580641,0.2675918387508318,8464.64252472,ok,
24,1,193,image_3701335754964,1.0,metadata,equidistant,0.0924905339625 0.131384368102 -0.117522324082 0.137446016536,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/front/metadata/sample_3701335754964_0.yaml,nearest_projected_center,0,28.653888998484774,628.0,198.5,608.9004972178197,208.01868483466112,-19.099502782180252,9.518684834661116,608.9004972178197,208.01868483466112,-19.099502782180252,9.518684834661116,590.9583572772558,210.16491171392005,-37.0416427227442,11.664911713920048,17.942139940563948,-2.1462268792589327,603.4377682146566,205.7484213958622,652.9218034260641,212.64033481676108,24.921803426064116,14.140334816761083,11603.6586761,ok,
25,1,80,image_3688925314632,1.0,metadata,equidistant,0.0924905339625 0.131384368102 -0.117522324082 0.137446016536,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/front/metadata/sample_3688925314632_0.yaml,nearest_projected_center,0,4.6714444658009215,741.0,167.5,739.8089504822394,177.4399910088138,-1.1910495177605753,9.939991008813791,739.8089504822394,177.4399910088138,-1.1910495177605753,9.939991008813791,733.7618977227972,177.85957818493404,-7.238102277202756,10.359578184934037,6.047052759442181,-0.41958717612024543,756.5901590530258,172.02673880458957,745.339915027688,169.22844755474674,4.339915027687994,1.7284475547467366,62929.5272827,ok,
26,1,125,image_3694027744824,0.447374812,metadata,equidistant,0.0924905339625 0.131384368102 -0.117522324082 0.137446016536,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/front/metadata/sample_3694027744824_0.yaml,nearest_projected_center,0,9.584496672379256,903.5,161.5,906.1279998145279,174.41834241605855,2.627999814527925,12.91834241605855,906.1279998145279,174.41834241605855,2.627999814527925,12.91834241605855,905.5975093809441,174.4897300737199,2.097509380944075,12.989730073719898,0.5304904335838501,-0.07138765766134725,928.4444426926411,166.81273659563183,909.4024584438063,169.05139462496757,5.9024584438062675,7.551394624967571,37549.369812,ok,
27,1,97,image_3690724746344,0.400914796,metadata,equidistant,0.0924905339625 0.131384368102 -0.117522324082 0.137446016536,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/front/metadata/sample_3690724746344_0.yaml,nearest_projected_center,0,5.239136766764716,856.0,167.0,856.8115587841451,177.54818491095006,0.8115587841450633,10.548184910950056,856.8115587841451,177.54818491095006,0.8115587841450633,10.548184910950056,855.4372329534524,177.70635433640135,-0.5627670465476058,10.706354336401347,1.3743258306926691,-0.1581694254512911,872.0854214481703,169.2329710040091,860.7734640231226,169.15930435113248,4.773464023122642,2.1593043511324765,52151.1993408,ok,
