scene_id,im_id,segment_id,raw_selected_candidate,anchored_selected_candidate,selected_polarity,raw_probability,selected_probability,selected_source,lookahead_path_cost,epnp_status,map_heading_source,epnp_rotation_before_deg,epnp_rotation_after_deg,epnp_translation_before_m,epnp_translation_after_m
1,58,0,1,4,1,0.13684356212615967,0.013675914146006107,gigapose_global_rank_0|R1+45|rgb_recovery|center_preserving_flip180,37.820671678806576,rejected:bbox_iou,epnp_raceline,nan,nan,nan,nan
1,59,0,2,10,1,0.17416411638259888,0.035456109791994095,gigapose_global_rank_0|yaw-30|rgb_recovery|center_preserving_flip180,32.62972559272895,rejected:bbox_iou,epnp_raceline,nan,nan,nan,nan
1,80,1,15,15,1,0.17717930674552917,0.17717930674552917,gigapose_global_rank_3|rgb_recovery|center_preserving_flip180,34.779344359614214,approved,epnp_raceline,162.87932045883628,17.186975937805997,1.658620445023924,1.658620445023924
1,81,1,0,2,1,0.19669729471206665,0.05318821966648102,gigapose_global_rank_1|flip180|rgb_recovery|center_preserving_flip180,60.32240793035706,approved,epnp_raceline,172.97293584762159,4.304504851268821,14.252795963486086,0.7197781054395831
1,82,1,15,10,1,0.1882953941822052,0.12046274542808533,gigapose_global_rank_2|align_detection|rgb_recovery|center_preserving_flip180,82.03862687011446,approved,epnp_raceline,120.88050057973783,3.9253671539794417,16.509058396666948,1.4535430413874122
1,83,1,2,6,0,0.22751861810684204,0.03123503178358078,gigapose_global_rank_0|yaw-30|rgb_recovery,94.09830372962803,approved,epnp_raceline,174.1126144921989,9.40944323530525,7.579904218072233,1.1667054860170207
1,84,1,4,6,0,0.2393234670162201,0.0261462964117527,gigapose_global_rank_0|R1-20|rgb_recovery,94.50298191487488,approved,epnp_raceline,168.31848370521735,8.41063724554197,10.93804740063723,5.485643053833835
1,85,1,5,3,0,0.22062276303768158,0.03529132530093193,gigapose_global_rank_1|logz-0.35|rgb_recovery,88.23262629691061,approved,epnp_raceline,169.49465414662944,7.697008307726408,16.919792221771687,7.444811653284286
1,86,1,10,5,0,0.17805655300617218,0.032094962894916534,gigapose_global_rank_2|logz-0.35|rgb_recovery,72.52589971339435,approved,epnp_raceline,179.63138196843974,7.839975350110548,9.82360829175682,6.720687625990354
1,87,1,7,1,0,0.2502058446407318,0.02318037673830986,gigapose_global_rank_2|logz-0.35|rgb_recovery,72.4607797053082,approved,epnp_raceline,170.3765359937462,10.81623196803776,9.584395886206906,4.71682899313811
1,88,1,13,3,0,0.2956365644931793,0.012071199715137482,gigapose_global_rank_2|logz-0.35|rgb_recovery,60.325932235604554,approved,epnp_raceline,172.42101526869155,6.032109968645354,7.5622937712506335,1.8524943123911366
1,89,1,5,4,0,0.2844764292240143,0.026014579460024834,gigapose_global_rank_1|uv1+48|rgb_recovery,60.48879914084122,approved,epnp_raceline,173.54348517048163,5.772365992034171,11.248778680258546,4.442736753963719
1,90,1,14,12,0,0.24183230102062225,0.061237506568431854,gigapose_global_rank_2|logz-0.35|rgb_recovery,51.85341091416323,approved,epnp_raceline,169.9306371053937,6.925351776092271,9.65718187039954,4.856723343246465
1,91,1,1,4,0,0.37817254662513733,0.028406955301761627,gigapose_global_rank_2|logz-0.35|rgb_recovery,42.19773812811358,approved,epnp_raceline,172.4340737728339,12.196603650212802,9.724787854536002,6.364767897002324
1,92,1,9,1,0,0.35651618242263794,0.048840753734111786,gigapose_global_rank_1|uv0-48|rgb_recovery,21.04145473517642,approved,epnp_raceline,175.2294865733438,7.496005994336628,3.8571054530089803,0.7295219155176986
1,93,1,8,1,0,0.25931316614151,0.020162316039204597,gigapose_global_rank_1|logz-0.35|rgb_recovery,21.27385426557912,approved,epnp_raceline,171.96392884799153,13.04925107090404,7.287635462947962,2.045008954632985
1,94,1,13,9,0,0.3157823085784912,0.02774442732334137,gigapose_global_rank_1|R0+20|rgb_recovery,18.304982112814088,approved,epnp_raceline,173.4221171802398,5.217124738790708,1.7172224938296774,2.0169177267313834
1,95,1,6,2,0,0.2579609453678131,0.03217281401157379,gigapose_global_rank_1|logz-0.35|rgb_recovery,18.662998825895087,approved,epnp_raceline,179.68539189972793,7.804266579105778,4.772144354416511,1.4922233974176917
1,96,1,4,3,0,0.27932852506637573,0.02915279194712639,gigapose_global_rank_0|logz-0.35|rgb_recovery,20.24486784343252,approved,epnp_raceline,176.0731250165972,11.069505374566404,8.182443917788158,0.5975364270000566
1,97,1,14,2,0,0.2838335931301117,0.02797560766339302,gigapose_global_rank_2|align_detection|rgb_recovery,17.86504008842428,approved,epnp_raceline,176.9564368771185,3.3050824449460174,2.0875548346492447,0.5768300911128376
1,98,1,9,1,0,0.33308106660842896,0.02545905113220215,gigapose_global_rank_1|R1-20|rgb_recovery,20.595263578362704,approved,epnp_raceline,172.9034905102088,3.5120693225107344,0.39133141711331537,0.4142634724628557
1,99,1,3,15,0,0.29270872473716736,0.029412930831313133,gigapose_global_rank_0|logz-0.35|rgb_recovery,23.767627204249905,approved,epnp_raceline,176.54472826515268,11.366118764799792,8.003440545898695,1.5134715118205382
1,100,1,4,8,1,0.28336620330810547,0.24339856207370758,gigapose_global_rank_2|flip180|rgb_recovery|center_preserving_flip180,21.231704536161573,approved,epnp_raceline,174.31457311431723,6.069941514601486,9.245025437728353,1.8176744603423098
1,101,1,2,1,1,0.2749713957309723,0.21763862669467926,gigapose_global_rank_4|rgb_recovery|center_preserving_flip180,19.418114019187087,approved,epnp_raceline,176.01880142362637,5.521591138317431,2.67896483177529,0.35254856457764644
1,102,1,4,2,0,0.3726239800453186,0.03665824607014656,gigapose_global_rank_0|R1-20|rgb_recovery,20.815297665374903,approved,epnp_raceline,177.7295624054726,5.013447280774949,5.981691047780082,1.3411580779672037
1,103,1,12,11,0,0.22496160864830017,0.007571876514703035,gigapose_global_rank_2|logz-0.35|rgb_recovery,17.92869155519268,approved,epnp_raceline,163.71971726226175,9.35708568884076,9.822329747765728,1.2417414311330592
1,104,1,5,1,0,0.23495547473430634,0.02539750747382641,gigapose_global_rank_2|logz-0.35|rgb_recovery,12.921022657855245,approved,epnp_raceline,178.41402443390382,4.575953115825565,2.9915764211369518,0.7863923056379268
1,105,1,3,8,0,0.3270565867424011,0.048646412789821625,gigapose_global_rank_0|yaw-30|rgb_recovery,13.347789421986402,approved,epnp_raceline,178.62705502978432,6.8834155325665405,2.991302157994025,0.8397695047763373
1,106,1,10,11,0,0.29594194889068604,0.06894850730895996,gigapose_global_rank_1|R0+20|rgb_recovery,12.912689954808705,approved,epnp_raceline,178.77435094104354,4.325081798909059,5.2666459363143865,1.1455686928951117
1,107,1,2,2,1,0.32631370425224304,0.32631370425224304,gigapose_global_rank_0|flip180|rgb_recovery|center_preserving_flip180,11.457496334181515,approved,epnp_raceline,177.89372003794728,4.649301947465826,0.364255763194406,0.364255763194406
1,108,1,7,7,1,0.33207565546035767,0.33207565546035767,gigapose_global_rank_3|rgb_recovery|center_preserving_flip180,18.117361572966526,approved,epnp_raceline,178.11616264929634,2.619713293715069,0.26965078388780056,0.26965078388780056
1,109,1,5,3,1,0.2337845265865326,0.21172060072422028,gigapose_global_rank_0|flip180|rgb_recovery|center_preserving_flip180,27.51256218461337,approved,epnp_raceline,171.27885940229473,3.30885448709043,2.488880394722351,2.2973487300157784
1,110,1,4,4,1,0.33257997035980225,0.33257997035980225,gigapose_global_rank_0|flip180|rgb_recovery|center_preserving_flip180,25.39164358887833,approved,epnp_raceline,179.34489671922032,4.251664971161195,2.200389992553564,2.200389992553564
1,111,1,4,4,1,0.18029209971427917,0.18029209971427917,gigapose_global_rank_1|R0+20|rgb_recovery|center_preserving_flip180,26.717731594325457,approved,epnp_raceline,174.45069217361015,5.855909041913935,0.5579582703278079,0.5579582703278079
1,112,1,1,1,1,0.37500110268592834,0.37500110268592834,gigapose_global_rank_3|rgb_recovery|center_preserving_flip180,29.260256572654125,approved,epnp_raceline,175.9746723879764,4.525818313814978,0.9280059048681991,0.9280059048681991
1,113,1,0,4,1,0.1317669153213501,0.05742238834500313,gigapose_global_rank_2|flip180|rgb_recovery|center_preserving_flip180,148.18286981438632,approved,epnp_raceline,172.14153014192854,7.1358134694846385,12.514416585436344,0.34252960937102905
1,114,1,5,15,1,0.22487004101276398,0.20137566328048706,gigapose_global_rank_1|flip180|rgb_recovery|center_preserving_flip180,158.15193348742375,approved,epnp_raceline,170.80629707872993,7.666436405032828,1.4059785820903596,0.3280567280290575
1,115,1,6,2,0,0.3301030993461609,0.04473995044827461,gigapose_global_rank_2|logz-0.35|rgb_recovery,159.11185826161199,approved,epnp_raceline,179.07486843325015,4.375535155115771,3.93998425207112,0.583985881720809
1,116,1,5,11,0,0.2954804301261902,0.03529070317745209,gigapose_global_rank_1|flip180|rgb_recovery,157.28674713823537,approved,epnp_raceline,175.67744518972054,12.848982635316155,0.6150768134619033,0.5560870346200816
1,117,1,6,14,0,0.1417911797761917,0.03725621476769447,gigapose_global_rank_0|R1-45|rgb_recovery,154.8347622057307,approved,epnp_raceline,122.81182606129197,85.88099217246913,44.28887902035079,32.358590300520376
1,118,1,11,1,0,0.3171370029449463,0.027931859716773033,gigapose_global_rank_0|uv1+48|rgb_recovery,28.488025067556677,approved,epnp_raceline,175.19111380473402,2.0501579552716445,0.7505937941260987,0.24269471353215677
1,119,1,4,4,1,0.28276294469833374,0.28276294469833374,gigapose_global_rank_4|rgb_recovery|center_preserving_flip180,9.101957013695216,approved,epnp_raceline,178.7845149002346,1.6680097151982052,1.392410827237856,1.392410827237856
1,120,1,1,3,1,0.25311097502708435,0.18781894445419312,gigapose_global_rank_0|flip180|rgb_recovery|center_preserving_flip180,6.436068038761596,approved,epnp_raceline,179.78008932884086,7.2008934846038155,2.0178643487986525,0.7612810670748732
1,121,1,8,1,1,0.29332026839256287,0.10025674104690552,gigapose_global_rank_0|flip180|rgb_recovery|center_preserving_flip180,7.3533281759031315,approved,epnp_raceline,121.98058488260014,3.5470698149646713,4.632419321075291,0.46559073242227494
1,122,1,5,5,1,0.22760771214962006,0.22760771214962006,gigapose_global_rank_1|flip180|rgb_recovery|center_preserving_flip180,15.240093295361632,approved,epnp_raceline,179.70948320124992,2.7216310472400846,0.767379472041989,0.767379472041989
1,123,1,3,3,1,0.3273164629936218,0.3273164629936218,gigapose_global_rank_3|rgb_recovery|center_preserving_flip180,18.110873729599774,approved,epnp_raceline,179.3886675437625,2.733341067793495,0.2397431776295074,0.2397431776295074
1,124,1,4,4,1,0.23872822523117065,0.23872822523117065,gigapose_global_rank_1|flip180|rgb_recovery|center_preserving_flip180,20.667324378837638,approved,epnp_raceline,179.30699596584859,1.0431005929829247,0.2767804487855514,0.2767804487855514
1,125,1,2,2,1,0.2740801274776459,0.2740801274776459,gigapose_global_rank_3|rgb_recovery|center_preserving_flip180,24.528905830869608,approved,epnp_raceline,177.95180144022316,2.149639986766691,2.003857707004634,2.003857707004634
1,126,1,11,8,1,0.22139984369277954,0.19982044398784637,gigapose_global_rank_2|rgb_recovery|center_preserving_flip180,25.72544277206513,approved,epnp_raceline,176.41397142755216,2.372575653418498,0.4182820685624354,0.3149330544780433
1,127,1,10,12,0,0.32791683077812195,0.02327324077486992,gigapose_global_rank_0|logz-0.35|rgb_recovery,18.29900007221134,approved,epnp_raceline,179.93824202337717,3.6876658226321446,2.780791490339805,0.40009210424907093
1,128,1,7,12,0,0.28332966566085815,0.022922052070498466,gigapose_global_rank_0|uv1+48|rgb_recovery,14.891459133397383,approved,epnp_raceline,179.4765477535138,3.041359108886715,2.220546785968706,0.5163540206944235
1,129,1,5,13,0,0.34406036138534546,0.035486236214637756,gigapose_global_rank_0|yaw-30|rgb_recovery,15.964826206682071,approved,epnp_raceline,178.83558160000698,5.874140673154004,3.7584003227556866,0.553743002863047
1,130,1,1,1,1,0.2892034947872162,0.2892034947872162,gigapose_global_rank_3|rgb_recovery|center_preserving_flip180,14.245817879639958,approved,epnp_raceline,179.1171938412355,4.473715760719414,1.8663158422095958,1.8663158422095958
1,131,1,13,13,1,0.28780779242515564,0.28780779242515564,gigapose_global_rank_3|rgb_recovery|center_preserving_flip180,11.381430830543387,approved,epnp_raceline,177.4875790508771,3.468998664564666,0.6216245296641776,0.6216245296641776
1,132,1,2,15,1,0.22756370902061462,0.20697219669818878,gigapose_global_rank_2|logz-0.35|rgb_recovery|center_preserving_flip180,10.88794296965571,approved,epnp_raceline,178.56939730955284,9.02834118672581,1.8796414732996949,0.7011851482483415
1,133,1,13,13,1,0.3130018711090088,0.3130018711090088,gigapose_global_rank_3|rgb_recovery|center_preserving_flip180,9.984300347806098,approved,epnp_raceline,179.00042382078368,10.922126087761326,1.9826624356504607,1.9826624356504607
1,134,1,0,4,1,0.13836099207401276,0.08406785130500793,gigapose_global_rank_0|uv1+48|rgb_recovery|center_preserving_flip180,7.3048762096140365,approved,epnp_raceline,177.53185384313227,4.955684526322987,5.803198052328798,0.5176340705981188
1,135,1,15,10,1,0.12185986340045929,0.11107604950666428,gigapose_global_rank_1|yaw-30|rgb_recovery|center_preserving_flip180,7.081749164287255,approved,epnp_raceline,177.27190800114516,3.751688488068271,2.1345978384100968,0.7826141215069149
1,136,1,15,2,1,0.13904276490211487,0.084324412047863,gigapose_global_rank_1|rgb_recovery|center_preserving_flip180,8.600746437251985,approved,epnp_raceline,175.86861174074232,1.2901132160129212,4.180629338677995,0.3498501484104064
1,137,1,4,3,1,0.22825786471366882,0.2127206176519394,gigapose_global_rank_2|rgb_recovery|center_preserving_flip180,12.42054081521824,approved,epnp_raceline,173.56979416319396,2.4445681845931446,2.499642248756027,0.9372226974315211
1,138,1,4,4,1,0.2704578638076782,0.2704578638076782,gigapose_global_rank_3|rgb_recovery|center_preserving_flip180,13.275698468153172,approved,epnp_raceline,179.3106363930204,1.6290003445292867,0.7661562421385752,0.7661562421385752
1,139,1,11,3,1,0.10844589024782181,0.06337519735097885,gigapose_global_rank_0|uv0-48|rgb_recovery|center_preserving_flip180,14.552845448119875,approved,epnp_raceline,178.26190282809048,3.2174042822635256,1.8169145337614212,0.24167348835352123
1,140,1,1,1,1,0.31140294671058655,0.31140294671058655,gigapose_global_rank_3|rgb_recovery|center_preserving_flip180,14.874756170993033,approved,epnp_raceline,179.53476873099063,2.4209031679528015,2.2194193696710176,2.2194193696710176
1,141,1,2,1,1,0.19253011047840118,0.10029587149620056,gigapose_global_rank_2|flip180|rgb_recovery|center_preserving_flip180,13.487546663750582,approved,epnp_raceline,179.39510731834838,2.431195583400962,4.001337894118234,2.7244786952900624
1,142,1,7,7,1,0.1647840291261673,0.1647840291261673,gigapose_global_rank_2|logz-0.35|rgb_recovery|center_preserving_flip180,11.016285364357124,approved,epnp_raceline,173.93388738861412,9.818861247213341,0.3440753155711963,0.3440753155711963
