method,scene_id,im_id,instance_id,gt_index,score,translation_error_mm,depth_error_mm,rotation_error_deg,center_error_px,gt_bbox_center_error_px,add_mm,pred_z_mm,gt_z_mm,translation_scale_to_mm,pred_bbox_iou,pred_mask_iou,camera_id
original,3,2210,1650,0,0.17578125,3198.6330518744217,3197.8625397577416,175.72198533617606,14.02702979424667,6.619090425732009,4103.910155269529,20443.4296875,17245.56714774226,1.0,0.705817225630853,0.6042839958444967,stereo_left
original,3,2340,1860,0,0.2109375,7739.923878561453,7738.532069410248,2.6050266289808537,2.641208564727588,1.522074868502185,7739.430023253864,40901.75,33163.21793058975,1.0,0.6539834434571277,0.6140708064698563,stereo_left
original,3,2195,1628,0,0.13671875,1872.2957600825218,1864.369999673303,7.879223930413478,40.7386304231844,21.021466814754152,1877.3116956916838,16457.87109375,14593.501094076697,1.0,0.6638319672131148,0.5973325766174802,stereo_left
original,2,2928,327,0,0.078125,7540.497394542512,6592.914725535338,91.17068333871677,2.229852907018599,0.901769754311573,7934.980171653428,54885.4765625,61478.39128803534,1.0,0.6296296296296297,0.5287610619469026,rear
original,2,2958,371,0,0.078125,51267.971788320545,43754.18349204946,126.77888277678184,5.745841526858898,6.240835098672228,50932.878164601134,144306.6875,100552.50400795054,1.0,0.4444444444444444,0.3287671232876712,rear
original,3,3274,565,0,0.04296875,10030.496598368603,9950.407492064522,121.08070477600205,0.6435047633169759,0.8121237354190262,10332.849784381724,592125.8125,582175.4050079355,1.0,0.9,0.5497076023391813,stereo_left
original,4,2070,1450,0,0.19921875,5106.015208125832,5097.116685665933,3.9598787918761684,13.697804199440766,10.907827129551459,5105.227320310295,29379.322265625,24282.205579959067,1.0,0.7192748391147387,0.6606617968045168,stereo_right
original,2,3074,428,0,0.08984375,6000.287294798189,5895.577069393417,139.94034824036964,2.438013394854114,2.8835949465784236,6614.809583262454,126731.3515625,132626.92863189342,1.0,0.55,0.49029126213592233,rear
original,3,1745,654,0,0.0703125,7922.145710833896,7646.284334206252,154.69550816080925,223.27520466787735,219.456662484931,8061.853684187514,15594.3076171875,7948.023282981248,1.0,0.6274440309528029,0.5617760494692888,stereo_left
original,2,2325,1831,0,0.0546875,148310.85497741043,145968.73713979253,166.49852585296352,0.2582652618906791,0.17869500213103448,148874.1545170107,736063.875,590095.1378602075,1.0,0.6666666666666666,0.6666666666666666,rear
original,4,2395,1958,0,0.2578125,3574.820849699297,3572.5570265413044,7.224747986947751,25.385738095744614,13.29572974583008,3574.8812862654654,21449.96484375,17877.407817208696,1.0,0.6799250190381348,0.582041704234826,stereo_right
original,1,2205,1641,0,0.234375,2702.1746919663988,2702.1630434232356,2.221602075944328,2.0794432929927895,1.5169011184847545,2701.1588401327776,20501.404296875,17799.241253451764,1.0,0.7359021406727829,0.7027863777089783,front
original,1,1755,747,0,0.125,2119.6976252900145,1812.458793013543,25.898927571247818,51.627392992794015,89.62975328139659,2099.3809272614526,5811.923828125,7624.382621138543,1.0,0.5245480588758273,0.4203985581388027,front
original,3,2155,1567,0,0.17578125,1285.4818268668673,1285.1301829127096,167.60787531004698,27.531076466237,3.828095058814477,2976.6065768202734,17003.419921875,15718.28973896229,1.0,0.812361378086648,0.6691257163760517,stereo_left
original,3,1900,1188,0,0.19140625,4159.979649670769,4155.933785784426,8.149179520661194,30.505118813907334,15.029862484125875,4161.078555859669,20672.744140625,16516.810354840574,1.0,0.593548644338118,0.5587902062040095,stereo_left
original,2,2943,354,0,0.0859375,88039.74676548132,87983.66485625967,171.93319904856466,2.5051809975357227,2.6648932669509398,87710.01872626721,189262.546875,101278.88201874033,1.0,0.5641025641025641,0.4293193717277487,rear
original,4,2415,1985,0,0.22265625,1105.6499617655766,1092.1122651513815,2.791609034145941,39.36844689561717,25.074955127704314,1105.7526308497088,10693.24609375,9601.133828598618,1.0,0.7833651358182563,0.6785833342105909,stereo_right
original,4,2170,1591,0,0.19140625,2687.596733791299,2674.004547450355,21.233788346793524,123.13260799417998,67.84727810786553,2724.834238719319,12387.1904296875,9713.185882237145,1.0,0.737901985458613,0.5908704831703352,stereo_right
original,4,1740,607,0,0.23046875,999.8596834133335,941.0666013126738,5.597595672201019,75.44196879627982,36.94468496627789,1003.7699207559675,10015.9375,9074.870898687326,1.0,0.7882347216223943,0.5944016120553706,stereo_right
original,4,2055,1430,0,0.28125,5687.996997096844,5686.752314957241,1.4669320982701402,2.5148115119882357,3.49617944829366,5689.731280786712,27401.908203125,21715.15588816776,1.0,0.6178488604558177,0.590104585679807,stereo_right
original,3,2135,1540,0,0.1640625,11592.38942091288,11583.03218158117,7.027466913304408,7.416791698838932,4.083287573527088,11593.055584767399,45644.86328125,34061.83109966883,1.0,0.6082362082362083,0.5455463182897862,stereo_left
original,2,3084,432,0,0.06640625,98550.82523636024,98468.57393763415,169.10924918364415,4.279442976544399,4.331253752217854,98289.52235121877,253857.453125,155388.87918736585,1.0,0.4375,0.3258426966292135,rear
original,1,2320,1819,0,0.25,5309.748095853039,5308.533441358024,176.1678853824768,3.4220175065576393,1.9829196731513838,5943.831500418343,33003.9296875,27695.396246141976,1.0,0.6732142857142858,0.650904033379694,front
original,1,3129,453,0,0.0,165.07150034636322,21.476575025822967,37.91823565099255,0.2345303702965777,0.15008573404251804,854.8983509177102,630985.375,631006.8515750258,1.0,0.6666666666666666,0.4444444444444444,front
original,1,3372,622,0,0.01953125,61080.132598829,57055.17455482844,63.56199094422732,0.7736662552369824,0.9583779502891119,60859.80674013673,640134.5,583079.3254451716,1.0,0.5,0.42857142857142855,front
original,3,1675,1474,0,0.203125,9564.466869385067,9563.297288864,1.083809437672429,1.5437971113697369,1.7817260859843072,9565.798245722246,41371.27734375,31807.980054886,1.0,0.5890218156228009,0.565231276946825,stereo_left
original,2,3003,396,0,0.0390625,52084.625430434586,51652.56268506689,74.27269323277982,4.952150957141035,5.280068724811799,51872.81497812178,205422.703125,153770.1404399331,1.0,0.5121951219512195,0.35294117647058826,rear
original,2,3003,395,1,0.07421875,57755.323430959725,51699.14410892094,109.12327532905869,0.6289373471465883,0.6572577377615868,57313.99149594955,458381.65625,510080.80035892094,1.0,0.8888888888888888,0.5263157894736842,rear
original,1,3377,624,0,0.0390625,130000.13019838603,123454.02669990959,172.62238837998927,0.037682021354505636,0.6285741903318537,129981.30097510577,434426.5625,557880.5891999096,1.0,0.3333333333333333,0.22727272727272727,front
original,4,2130,1536,0,0.2109375,10481.630647844126,10480.007334195572,4.629517756752043,6.762502935516768,3.1910669879768516,10481.245004754965,44600.48046875,34120.47313455443,1.0,0.5421865715983363,0.5356958244787778,stereo_right
original,4,2075,1457,0,0.2265625,5067.536060819171,5058.749939295143,1.018791070010168,6.883586729485136,2.0641614595961957,5067.216285106768,32152.390625,27093.640685704857,1.0,0.7220867274767084,0.6873650700720846,stereo_right
original,2,2573,86,0,0.12109375,1620.8778553831216,1590.2509641354518,6.4415676852886605,12.952502179195468,4.7455772707743185,1627.2582229510394,19583.826171875,17993.57520773955,1.0,0.716142684401451,0.564281559045957,rear
original,2,3119,449,0,0.03515625,2728.2490052308935,2188.6204186555988,56.11012831143795,4.3022670272816335,4.0646568737029,2992.800933438475,126616.3515625,124427.7311438444,1.0,0.4566929133858268,0.2756598240469208,rear
original,2,2688,184,0,0.09375,29480.504035113274,29358.437052852943,81.43159652608026,6.579329121285979,6.425078180563876,29547.962940622856,58253.8359375,28895.398884647057,1.0,0.5814676616915423,0.4503610108303249,rear
original,2,2688,185,1,0.0,123485.74710154449,111139.00340067392,30.03202919829512,0.2872393727572498,0.1500742297754689,123515.04909863295,630985.375,519846.3715993261,1.0,0.6666666666666666,0.5454545454545454,rear
original,3,2608,111,0,0.01953125,124218.22488957904,120709.23685744702,147.05987726620523,1.188963916272547,0.6425484119724401,123803.73333566185,632544.125,511834.888142553,1.0,0.6964285714285714,0.45754716981132076,stereo_left
original,1,2455,33,0,0.015625,25542.286741563603,19391.43730621428,114.64793126193243,2370.9546630779755,80.04938299622606,25852.745117376868,20378.7734375,987.3361312857186,1.0,0.47567340228259,0.17292748894517665,front
original,2,3028,412,0,0.05078125,108068.09488000354,102458.4501252454,138.69079656396184,4.093335722426102,3.7836325565214635,108023.82077385754,237838.3125,135379.8623747546,1.0,0.4117647058823529,0.373015873015873,rear
original,2,3028,413,1,0.01171875,153793.55387733722,129826.25783674757,125.72891990370529,0.5104046789124934,0.33495242263956515,153958.40105448788,540753.0,670579.2578367476,1.0,0.675,0.5333333333333333,rear
original,2,3149,474,0,0.0703125,89578.62883215117,87597.61969569698,172.79223883527325,2.49925353523925,2.0057522643809214,89175.82653318057,279725.375,192127.75530430302,1.0,0.5673758865248227,0.5769230769230769,rear
original,4,1745,677,0,0.07421875,9230.912937382698,8987.678414893751,17.126370361100307,292.63283891386135,152.01679728469097,9185.597387867776,16935.685546875,7948.007131981248,1.0,0.6878849049953539,0.3097566029915979,stereo_right
