scene_id,im_id,gt_index,camera_id,model_a,model_b,finetune_score,finetune2_score,score_winner,finetune2_minus_finetune_score,finetune_translation_error_mm,finetune2_translation_error_mm,translation_error_mm_winner,finetune_minus_finetune2_translation_error_mm,finetune_depth_error_mm,finetune2_depth_error_mm,depth_error_mm_winner,finetune_minus_finetune2_depth_error_mm,finetune_rotation_error_deg,finetune2_rotation_error_deg,rotation_error_deg_winner,finetune_minus_finetune2_rotation_error_deg,finetune_center_error_px,finetune2_center_error_px,center_error_px_winner,finetune_minus_finetune2_center_error_px,finetune_gt_bbox_center_error_px,finetune2_gt_bbox_center_error_px,gt_bbox_center_error_px_winner,finetune_minus_finetune2_gt_bbox_center_error_px,finetune_add_mm,finetune2_add_mm,add_mm_winner,finetune_minus_finetune2_add_mm,finetune_pred_bbox_iou,finetune2_pred_bbox_iou,pred_bbox_iou_winner,finetune2_minus_finetune_pred_bbox_iou,finetune_pred_mask_iou,finetune2_pred_mask_iou,pred_mask_iou_winner,finetune2_minus_finetune_pred_mask_iou,finetune3_score,finetune3_minus_finetune_score,finetune3_translation_error_mm,finetune_minus_finetune3_translation_error_mm,finetune3_depth_error_mm,finetune_minus_finetune3_depth_error_mm,finetune3_rotation_error_deg,finetune_minus_finetune3_rotation_error_deg,finetune3_center_error_px,finetune_minus_finetune3_center_error_px,finetune3_gt_bbox_center_error_px,finetune_minus_finetune3_gt_bbox_center_error_px,finetune3_add_mm,finetune_minus_finetune3_add_mm,finetune3_pred_bbox_iou,finetune3_minus_finetune_pred_bbox_iou,finetune3_pred_mask_iou,finetune3_minus_finetune_pred_mask_iou,original_score,original_minus_finetune_score,original_translation_error_mm,finetune_minus_original_translation_error_mm,original_depth_error_mm,finetune_minus_original_depth_error_mm,original_rotation_error_deg,finetune_minus_original_rotation_error_deg,original_center_error_px,finetune_minus_original_center_error_px,original_gt_bbox_center_error_px,finetune_minus_original_gt_bbox_center_error_px,original_add_mm,finetune_minus_original_add_mm,original_pred_bbox_iou,original_minus_finetune_pred_bbox_iou,original_pred_mask_iou,original_minus_finetune_pred_mask_iou,finetune3_minus_finetune2_score,finetune2_minus_finetune3_translation_error_mm,finetune2_minus_finetune3_depth_error_mm,finetune2_minus_finetune3_rotation_error_deg,finetune2_minus_finetune3_center_error_px,finetune2_minus_finetune3_gt_bbox_center_error_px,finetune2_minus_finetune3_add_mm,finetune3_minus_finetune2_pred_bbox_iou,finetune3_minus_finetune2_pred_mask_iou,original_minus_finetune2_score,finetune2_minus_original_translation_error_mm,finetune2_minus_original_depth_error_mm,finetune2_minus_original_rotation_error_deg,finetune2_minus_original_center_error_px,finetune2_minus_original_gt_bbox_center_error_px,finetune2_minus_original_add_mm,original_minus_finetune2_pred_bbox_iou,original_minus_finetune2_pred_mask_iou,original_minus_finetune3_score,finetune3_minus_original_translation_error_mm,finetune3_minus_original_depth_error_mm,finetune3_minus_original_rotation_error_deg,finetune3_minus_original_center_error_px,finetune3_minus_original_gt_bbox_center_error_px,finetune3_minus_original_add_mm,original_minus_finetune3_pred_bbox_iou,original_minus_finetune3_pred_mask_iou
1,2400,0,front,finetune2,finetune3,,0.1953125,finetune3,,,1986.0665415427793,finetune3,,,1984.8823505039363,finetune3,,,1.4353234882623869,finetune3,,,2.9033463838849825,finetune2,,,4.7001741252895215,finetune2,,,1985.7253037749708,finetune3,,,0.7608137467904404,finetune3,,,0.7361234787770852,finetune2,,0.2734375,,1413.3728131795394,,1410.9526630039363,,1.1578210293227942,,4.074170049444305,,6.638004580456268,,1413.088361483242,,0.811179142800711,,0.7245859508852085,,,,,,,,,,,,,,,,,,,,0.078125,572.6937283632399,573.9296875,0.2775024589395927,-1.1708236655593227,-1.937830455166747,572.6369422917289,0.05036539601027057,-0.011537527891876675,,,,,,,,,,,,,,,,,,
1,2400,0,front,finetune2,original,,0.1953125,original,,,1986.0665415427793,finetune2,,,1984.8823505039363,finetune2,,,1.4353234882623869,finetune2,,,2.9033463838849825,original,,,4.7001741252895215,original,,,1985.7253037749708,finetune2,,,0.7608137467904404,finetune2,,,0.7361234787770852,finetune2,,,,,,,,,,,,,,,,,,,,0.28125,,4253.088741825758,,4252.823756753936,,2.0718643844587405,,2.0804464631008774,,1.5132046934291392,,4252.401358838686,,0.612680229113174,,0.5828836930455635,,,,,,,,,,,0.0859375,-2267.0222002829787,-2267.94140625,-0.6365408961963537,0.822899920784105,3.1869694318603825,-2266.6760550637155,-0.14813351767726646,-0.15323978573152164,,,,,,,,,
1,2400,0,front,finetune3,original,,,original,,,,finetune3,,,,finetune3,,,,finetune3,,,,original,,,,original,,,,finetune3,,,,finetune3,,,,finetune3,,0.2734375,,1413.3728131795394,,1410.9526630039363,,1.1578210293227942,,4.074170049444305,,6.638004580456268,,1413.088361483242,,0.811179142800711,,0.7245859508852085,,0.28125,,4253.088741825758,,4252.823756753936,,2.0718643844587405,,2.0804464631008774,,1.5132046934291392,,4252.401358838686,,0.612680229113174,,0.5828836930455635,,,,,,,,,,,,,,,,,,,,0.0078125,-2839.7159286462183,-2841.87109375,-0.9140433551359464,1.9937235863434277,5.124799887027129,-2839.312997355444,-0.19849891368753703,-0.14170225783964496
1,2405,0,front,finetune,finetune2,0.2890625,0.26171875,finetune,-0.02734375,3065.242728867775,1435.6623433026487,finetune2,1629.5803855651263,3063.590054926037,1433.5138830510368,finetune2,1630.076171875,1.2151882472426925,0.8038346751791409,finetune2,0.4113535720635516,5.7133925244457195,5.07595168283151,finetune2,0.6374408416142092,2.391254485688603,4.984861516415745,finetune,-2.593607030727142,3064.9144370145186,1435.245997093857,finetune2,1629.6684399206615,0.639338494018297,0.8050668543279381,finetune2,0.1657283603096411,0.6189471463234518,0.7558563248308173,finetune2,0.1369091785073655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2405,0,front,finetune,finetune3,0.2890625,,finetune,,3065.242728867775,,finetune3,,3063.590054926037,,finetune3,,1.2151882472426925,,finetune3,,5.7133925244457195,,finetune3,,2.391254485688603,,finetune,,3064.9144370145186,,finetune3,,0.639338494018297,,finetune3,,0.6189471463234518,,finetune3,,0.2734375,-0.015625,1191.2082423091288,1874.0344865586462,1188.5519689885368,1875.0380859375,0.5712041134266971,0.6439841338159954,5.433625000560153,0.2797675238855666,8.554813323272306,-6.163558837583703,1190.865609869016,1874.0488271455026,0.800725142936829,0.16138664891853194,0.710568454763811,0.0916213084403592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2405,0,front,finetune,original,0.2890625,,original,,3065.242728867775,,finetune,,3063.590054926037,,finetune,,1.2151882472426925,,finetune,,5.7133925244457195,,original,,2.391254485688603,,original,,3064.9144370145186,,finetune,,0.639338494018297,,original,,0.6189471463234518,,finetune,,,,,,,,,,,,,,,,,,,,0.296875,0.0078125,3080.8905605212713,-15.647831653496269,3080.467008051037,-16.876953125,3.206153276523962,-1.9909650292812695,2.8614293979138883,2.8519631265318313,1.9844569674428898,0.4067975182457133,3080.5597863192083,-15.645349304689717,0.6693877551020408,0.03004926108374384,0.6164398016249868,-0.0025073446984650305,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2405,0,front,finetune2,finetune3,,0.26171875,finetune3,,,1435.6623433026487,finetune3,,,1433.5138830510368,finetune3,,,0.8038346751791409,finetune3,,,5.07595168283151,finetune2,,,4.984861516415745,finetune2,,,1435.245997093857,finetune3,,,0.8050668543279381,finetune2,,,0.7558563248308173,finetune2,,0.2734375,,1191.2082423091288,,1188.5519689885368,,0.5712041134266971,,5.433625000560153,,8.554813323272306,,1190.865609869016,,0.800725142936829,,0.710568454763811,,,,,,,,,,,,,,,,,,,,0.01171875,244.4541009935199,244.9619140625,0.2326305617524438,-0.35767331772864264,-3.5699518068565608,244.38038722484112,-0.004341711391109171,-0.0452878700670063,,,,,,,,,,,,,,,,,,
1,2405,0,front,finetune2,original,,0.26171875,original,,,1435.6623433026487,finetune2,,,1433.5138830510368,finetune2,,,0.8038346751791409,finetune2,,,5.07595168283151,original,,,4.984861516415745,original,,,1435.245997093857,finetune2,,,0.8050668543279381,finetune2,,,0.7558563248308173,finetune2,,,,,,,,,,,,,,,,,,,,0.296875,,3080.8905605212713,,3080.467008051037,,3.206153276523962,,2.8614293979138883,,1.9844569674428898,,3080.5597863192083,,0.6693877551020408,,0.6164398016249868,,,,,,,,,,,0.03515625,-1645.2282172186226,-1646.953125,-2.4023186013448212,2.214522284917622,3.0004045489728552,-1645.3137892253512,-0.13567909922589727,-0.13941652320583053,,,,,,,,,
1,2405,0,front,finetune3,original,,,original,,,,finetune3,,,,finetune3,,,,finetune3,,,,original,,,,original,,,,finetune3,,,,finetune3,,,,finetune3,,0.2734375,,1191.2082423091288,,1188.5519689885368,,0.5712041134266971,,5.433625000560153,,8.554813323272306,,1190.865609869016,,0.800725142936829,,0.710568454763811,,0.296875,,3080.8905605212713,,3080.467008051037,,3.206153276523962,,2.8614293979138883,,1.9844569674428898,,3080.5597863192083,,0.6693877551020408,,0.6164398016249868,,,,,,,,,,,,,,,,,,,,0.0234375,-1889.6823182121425,-1891.9150390625,-2.634949163097265,2.5721956026462647,6.570356355829416,-1889.6941764501923,-0.1313373878347881,-0.09412865313882424
1,2410,0,front,finetune,finetune2,0.30078125,0.23046875,finetune,-0.0703125,2184.4716698762095,701.5048324009905,finetune2,1482.966837475219,2182.1591357115212,699.4735888365212,finetune2,1482.685546875,1.0682545684183011,0.6851307141799137,finetune2,0.38312385423838746,6.508177577411464,4.0953476947267315,finetune2,2.4128298826847328,2.527301055997931,3.152339544013474,finetune,-0.6250384880155426,2185.0379908812565,702.0778867588505,finetune2,1482.960104122406,0.6782945736434108,0.8731130150958792,finetune2,0.1948184414524684,0.6560636182902585,0.8171291074516881,finetune2,0.1610654891614296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
