scene_id,im_id,gt_index,camera_id,model_count,best_score_model,best_score,best_translation_error_mm_model,best_translation_error_mm,best_depth_error_mm_model,best_depth_error_mm,best_rotation_error_deg_model,best_rotation_error_deg,best_center_error_px_model,best_center_error_px,best_gt_bbox_center_error_px_model,best_gt_bbox_center_error_px,best_add_mm_model,best_add_mm,best_pred_bbox_iou_model,best_pred_bbox_iou,best_pred_mask_iou_model,best_pred_mask_iou
1,850,0,front,4,finetune3,0.1640625,finetune,1008.7771793176762,finetune,949.0737931499316,finetune,29.73268965413835,finetune3,4.667510412425051,finetune3,4.958426001549884,finetune,1260.4578428037164,original,0.6379170056956875,original,0.49791376912378305
1,855,0,front,4,finetune3,0.14453125,finetune3,1591.0363274548415,finetune3,1171.5915656480938,finetune2,22.091416368074267,original,2.405460898116729,original,1.5104550981674718,finetune3,1674.9190370673068,original,0.6441930270145463,original,0.528740157480315
1,855,1,front,4,finetune3,0.05859375,original,24936.835295653524,original,19390.74969334464,finetune,63.83062438770741,original,0.5284897723794353,original,0.4882072833759213,original,24903.32738613661,finetune2,0.8,original,0.5
1,860,0,front,4,finetune3,0.15625,finetune2,2394.4556248012973,finetune2,1982.678084929008,finetune2,7.172800697007486,original,5.410646103463297,original,6.742574895190974,finetune2,2400.6735652021894,finetune,0.5449308755760369,finetune,0.42781222320637735
1,860,1,front,4,finetune3,0.04296875,finetune3,135892.3286856938,finetune3,129274.53259874275,finetune,114.43843361592161,finetune2,0.10272446283588622,finetune3,0.1860423436969595,finetune3,135590.44885740022,finetune3,0.625,finetune3,0.5384615384615384
1,865,0,front,4,finetune3,0.25,finetune2,4894.993175165373,finetune2,4861.074848728997,original,171.207087507194,finetune3,0.23912204229955425,finetune3,0.35627778983968006,finetune2,5549.402552952075,finetune2,0.8939051918735892,finetune2,0.8246527777777778
1,865,1,front,4,finetune3,0.0625,finetune,59781.53632018076,finetune,59756.262256145186,original,32.74735657111494,original,0.7152672762882889,original,0.854057962681201,finetune,59744.731461654424,finetune3,0.7692307692307693,original,0.6
1,870,0,front,4,finetune3,0.1875,finetune2,9038.243102458931,finetune2,9021.919713450523,finetune2,1.2305827533283045,original,0.6627906351949779,original,0.8561505658916122,finetune2,9036.926387440186,finetune2,0.71900826446281,finetune2,0.7494646680942184
1,870,1,front,4,finetune3,0.09375,original,40873.94079883908,original,40707.53757745831,finetune3,42.65980016032368,finetune3,0.3042967649898727,finetune,0.4362918683824113,original,40768.15135544754,original,0.875,finetune3,0.6744186046511628
1,875,0,front,4,finetune3,0.16015625,finetune3,25861.89653495622,finetune3,25808.04714642337,finetune3,6.530226016536604,finetune3,1.6162292253222237,finetune3,2.4574846809742192,finetune3,25866.3836971363,finetune3,0.5523809523809524,finetune3,0.5072765072765073
1,875,1,front,4,original,0.0390625,finetune,36140.75011497874,finetune,35970.52893825309,finetune2,26.720177635530714,finetune3,2.5848291825493623,finetune3,2.5736929234641734,finetune,35881.21799367164,finetune2,0.7,finetune3,0.44871794871794873
