abs_depth_change_m_count,abs_depth_change_m_max,abs_depth_change_m_mean,abs_depth_change_m_median,abs_depth_change_m_p90,abs_depth_change_m_std,abs_depth_change_m_variance,abs_distance_change_m_count,abs_distance_change_m_max,abs_distance_change_m_mean,abs_distance_change_m_median,abs_distance_change_m_p90,abs_distance_change_m_std,abs_distance_change_m_variance,camera_id,distance_bin_end_m,distance_bin_start_m,lateral_change_m_count,lateral_change_m_max,lateral_change_m_mean,lateral_change_m_median,lateral_change_m_p90,lateral_change_m_std,lateral_change_m_variance,matched_predictions,model,model_score_count,model_score_max,model_score_mean,model_score_median,model_score_p90,model_score_std,model_score_variance,normalized_center_change_count,normalized_center_change_max,normalized_center_change_mean,normalized_center_change_median,normalized_center_change_p90,normalized_center_change_std,normalized_center_change_variance,projected_center_change_px_count,projected_center_change_px_max,projected_center_change_px_mean,projected_center_change_px_median,projected_center_change_px_p90,projected_center_change_px_std,projected_center_change_px_variance,relative_translation_change_count,relative_translation_change_max,relative_translation_change_mean,relative_translation_change_median,relative_translation_change_p90,relative_translation_change_std,relative_translation_change_variance,rotation_change_deg_count,rotation_change_deg_max,rotation_change_deg_mean,rotation_change_deg_median,rotation_change_deg_p90,rotation_change_deg_std,rotation_change_deg_variance,translation_change_m_count,translation_change_m_max,translation_change_m_mean,translation_change_m_median,translation_change_m_p90,translation_change_m_std,translation_change_m_variance
2,27.812960250000003,22.398087624999988,22.398087624999988,26.729985725,5.414872625000015,29.320845544974556,2,32.890570281706005,26.488604868665774,26.488604868665774,31.610177199097958,6.40196541304023,40.985161149763364,front,180.0,170.0,2,17.55974240496434,14.144207313687723,14.144207313687723,16.876635386709015,3.4155350912766176,11.665879959741972,2,selector,2,0.174164116,0.155503839,0.155503839,0.17043206060000002,0.018660277000000003,0.0003482059377167291,2,0.002606302330722046,0.0021645945004801887,0.0021645945004801887,0.0025179607646736747,0.0004417078302418573,1.9510580729696942e-07,0,nan,nan,nan,nan,nan,nan,2,0.1915764451691309,0.15166099729344512,0.15166099729344512,0.18359335559399373,0.03991544787568575,0.0015932429791165863,2,160.78848439955976,151.8012897672196,151.8012897672196,158.99104547309173,8.987194632340177,80.7696673595641,2,32.89232906312326,26.490242381122535,26.490242381122535,31.611911726723118,6.40208668200073,40.986713883851124
4,24.988782625000027,12.867892312500004,13.2413911875,22.194511487500026,9.008579352384242,81.15450194820369,4,30.643619087908462,15.662968413465968,16.004124954852657,27.084073000176737,11.015614308354538,121.34375859042524,front,190.0,180.0,4,17.740559097664004,8.930710426291085,8.991140303711374,15.521239595888215,6.344927231553547,40.258101573709766,4,selector,4,0.364303291,0.2274476065,0.18874639999999998,0.31413200350000003,0.07968399622051633,0.0063495392536712615,4,0.0033049510275285953,0.0018452310570472481,0.0020379841998151935,0.003133946194325735,0.0012827149410691986,1.6453576200421576e-06,0,nan,nan,nan,nan,nan,nan,4,0.16976692792441186,0.085544625464642,0.086205774065761,0.1493153674594593,0.0610037073116351,0.0037214523057636415,4,178.0174910159235,135.64190498258966,175.0162889025682,177.84307694220962,69.962837790481,4894.798671697157,4,30.64582670082849,15.665187392715898,16.00745908646426,27.085895427028387,11.016113142001098,121.3547487573693
1,19.780876250000006,19.780876250000006,19.780876250000006,19.780876250000006,0.0,0.0,1,24.49792647797372,24.49792647797372,24.49792647797372,24.49792647797372,0.0,0.0,front,200.0,190.0,1,14.459668108088337,14.459668108088337,14.459668108088337,14.459668108088337,0.0,0.0,1,selector,1,0.267657757,0.267657757,0.267657757,0.267657757,0.0,0.0,1,0.003264394634304345,0.003264394634304345,0.003264394634304345,0.003264394634304345,0.0,0.0,0,nan,nan,nan,nan,nan,nan,1,0.12423361285039591,0.12423361285039591,0.12423361285039591,0.12423361285039591,0.0,0.0,1,161.17324930785452,161.17324930785452,161.17324930785452,161.17324930785452,0.0,0.0,1,24.502348193874834,24.502348193874834,24.502348193874834,24.502348193874834,0.0,0.0
3,49.270985499999995,26.920803250000006,19.104394250000013,43.23766725,16.04013155750196,257.2858203819703,3,58.55585538717301,32.593663345356,23.141999705366516,51.473084250811716,18.582849703308327,345.32230309574635,front,210.0,200.0,3,31.641497242569358,18.325424321828184,13.06737806835102,27.92667340772569,9.485016995320207,89.96554740151316,3,selector,3,0.285118669,0.23420928899999996,0.252335429,0.278562021,0.050616943622185114,0.0025620749816514664,3,0.003224441467644599,0.002537977107953896,0.003115647934436326,0.0032026827610029444,0.0008949813163441723,8.009915566051473e-07,0,nan,nan,nan,nan,nan,nan,3,0.2840679560154663,0.15880624247069958,0.11455393235161207,0.25016515128269545,0.0898355669625187,0.00807042909147718,3,179.15679753809056,171.0929219268505,173.71698311976067,178.0688346544246,7.877050635595377,62.047926715733524,3,58.556078761241636,32.597025363675286,23.145933751755507,51.47404975934441,18.58053092415974,345.23612942365634
3,45.564946375000005,32.71453195833334,28.188067500000017,42.08957060000001,9.217920482796304,84.97005802715564,3,57.19227391870234,40.23670497161004,34.56079240727939,52.66597761641775,12.205708362220019,148.97931662356768,front,220.0,210.0,3,34.56818714022663,23.396669909699114,20.009756073023002,31.656500926785903,8.100905969264671,65.62467752286798,3,selector,3,0.754497409,0.4460928686666667,0.443069577,0.6922118426,0.25058611814964854,0.06279340260930961,3,0.004781408840149468,0.0032937696982694165,0.002891216690039204,0.004403370410127416,0.001088198979710354,1.1841770194426554e-06,0,nan,nan,nan,nan,nan,nan,3,0.26212863793207286,0.18517561565729476,0.15987279127149367,0.24167746859995703,0.055466937602778814,0.0030765811670305583,3,179.15929105388682,126.11663511249169,179.15868349600214,179.15916954230988,75.01321380872066,5626.98224591284,3,57.19374004485417,40.240376352864814,34.568157131765616,52.668623462236454,12.204573349611826,148.95161064605523
1,43.046278374999986,43.046278374999986,43.046278374999986,43.046278374999986,0.0,0.0,1,51.158585698105156,51.158585698105156,51.158585698105156,51.158585698105156,0.0,0.0,front,230.0,220.0,1,27.646142259470945,27.646142259470945,27.646142259470945,27.646142259470945,0.0,0.0,1,selector,1,0.341360122,0.341360122,0.341360122,0.341360122,0.0,0.0,1,0.0018669190089114058,0.0018669190089114058,0.0018669190089114058,0.0018669190089114058,0.0,0.0,0,nan,nan,nan,nan,nan,nan,1,0.22865909488089728,0.22865909488089728,0.22865909488089728,0.22865909488089728,0.0,0.0,1,178.06219125199252,178.06219125199252,178.06219125199252,178.06219125199252,0.0,0.0,1,51.15946895511032,51.15946895511032,51.15946895511032,51.15946895511032,0.0,0.0
1,57.720713625,57.720713625,57.720713625,57.720713625,0.0,0.0,1,74.68014718153248,74.68014718153248,74.68014718153248,74.68014718153248,0.0,0.0,front,240.0,230.0,1,47.38799939203262,47.38799939203262,47.38799939203262,47.38799939203262,0.0,0.0,1,selector,1,0.769814193,0.769814193,0.769814193,0.769814193,0.0,0.0,1,0.0033374908352845818,0.0033374908352845818,0.0033374908352845818,0.0033374908352845818,0.0,0.0,0,nan,nan,nan,nan,nan,nan,1,0.3215453080689485,0.3215453080689485,0.3215453080689485,0.3215453080689485,0.0,0.0,1,138.92080541650796,138.92080541650796,138.92080541650796,138.92080541650796,0.0,0.0,1,74.68134484433541,74.68134484433541,74.68134484433541,74.68134484433541,0.0,0.0
3,1.5483292040625,1.2408185608333329,1.3325767456249986,1.5051787123749998,0.29574648896456734,0.08746598573486897,3,2.147852115410668,1.7808098731396331,1.933356590629515,2.1049530104544374,0.37769617231037184,0.1426543985779061,front,10.0,0.0,3,1.5653944648616132,1.382814123552543,1.4447986827033619,1.5412753084299629,0.17980513261362818,0.032329885714204414,3,translation_cascade,3,0.32136628,0.23219925133333333,0.238355085,0.304764041,0.07544335926771696,0.005691700457597815,3,0.0826293512015171,0.06534546585233898,0.06098222605640268,0.07829992617249422,0.01271106651430009,0.00016157121193096104,0,nan,nan,nan,nan,nan,nan,3,0.2269367115003868,0.19797129439561298,0.21705261111195073,0.2249598914226996,0.034212963754301606,0.0011705268888531557,3,61.36460035737693,39.045090887419626,46.49190545919441,58.39006137774042,21.90623653363968,479.88319906776997,3,2.2017681882460267,1.8609447366009588,1.9655035020375522,2.154515251004332,0.3293723728110068,0.10848615997115285
81,4.7858760109375,0.8535306473032409,0.5888882499999983,1.7641365940625011,0.9284494905013021,0.8620184564121275,81,5.703429466634438,0.9972712149599526,0.7515949900722401,2.06575572067732,1.1048031765353905,1.220590058882689,front,20.0,10.0,81,3.1418595661361155,0.6777233768024734,0.49104670669420114,1.0661009445347507,0.6186156128688699,0.38268527648512757,81,translation_cascade,81,0.650466979,0.15724164945555555,0.13215439,0.234749362,0.08572502700719582,0.007348780255384454,81,0.14083629592692454,0.04075566897684317,0.03592340752965573,0.0780843241124148,0.02684942991272749,0.0007208918866384655,0,nan,nan,nan,nan,nan,nan,81,0.42125850382658914,0.08822715207402601,0.06397314888145247,0.15650163009951457,0.08127714055073385,0.006605973576103743,81,179.97909223680534,99.12426380486703,93.72436005218971,171.36201631305443,66.84800318114898,4468.655529306905,81,5.7096678458417305,1.1359357072517424,0.86491375229041,2.0831076704873768,1.068726973196698,1.1421773432381754
36,7.399021806249998,4.1973261008680565,4.121425493750001,6.470293960937498,1.835034884530785,3.3673530274449113,36,7.513890733285145,4.26260694431195,4.131204579760192,6.549467708982956,1.9069072331563515,3.636295195864012,front,30.0,20.0,36,2.552626330045634,0.9631803408213302,0.7985920270267411,1.5391418826785395,0.5363494303102628,0.28767071139414346,36,translation_cascade,36,0.270642191,0.1831171220972222,0.184861839,0.24073492000000002,0.04334255474638681,0.001878577051943538,36,0.05780874996475945,0.028468584449829963,0.027451268278271258,0.04034199524609914,0.009949217099780274,9.89869208985602e-05,0,nan,nan,nan,nan,nan,nan,36,0.3042364531701596,0.17332196848786496,0.16993461169329832,0.25705651023493187,0.06695973174983197,0.004483605676009455,36,179.7877475597636,163.79694434400506,161.21508308828447,177.4067139638492,7.823658763437462,61.2096364467118,36,7.533561309846006,4.331422717148682,4.17694739498545,6.576303592580774,1.8544712858872503,3.4390637501803116
