scene_id,im_id,car_panels,worst_center_error_px,output
1,395,1,3.928166156890876,gigaPose_datasets/results/final_results/metrics/all_models/side_by_side_visuals/000001_000395_cars_side_by_side.jpg
1,400,1,6.2176322546086045,gigaPose_datasets/results/final_results/metrics/all_models/side_by_side_visuals/000001_000400_cars_side_by_side.jpg
1,405,1,3.1532876983204665,gigaPose_datasets/results/final_results/metrics/all_models/side_by_side_visuals/000001_000405_cars_side_by_side.jpg
1,410,1,7.539247004910426,gigaPose_datasets/results/final_results/metrics/all_models/side_by_side_visuals/000001_000410_cars_side_by_side.jpg
1,415,1,4.981674825470343,gigaPose_datasets/results/final_results/metrics/all_models/side_by_side_visuals/000001_000415_cars_side_by_side.jpg
1,420,1,2.112582502496623,gigaPose_datasets/results/final_results/metrics/all_models/side_by_side_visuals/000001_000420_cars_side_by_side.jpg
1,425,1,11.630217458865419,gigaPose_datasets/results/final_results/metrics/all_models/side_by_side_visuals/000001_000425_cars_side_by_side.jpg
1,430,1,2.5424611284327607,gigaPose_datasets/results/final_results/metrics/all_models/side_by_side_visuals/000001_000430_cars_side_by_side.jpg
1,435,1,2.872238601018683,gigaPose_datasets/results/final_results/metrics/all_models/side_by_side_visuals/000001_000435_cars_side_by_side.jpg
1,440,1,2.3807684574986436,gigaPose_datasets/results/final_results/metrics/all_models/side_by_side_visuals/000001_000440_cars_side_by_side.jpg
1,445,1,3.392801700793409,gigaPose_datasets/results/final_results/metrics/all_models/side_by_side_visuals/000001_000445_cars_side_by_side.jpg
1,450,1,5.4973705193922076,gigaPose_datasets/results/final_results/metrics/all_models/side_by_side_visuals/000001_000450_cars_side_by_side.jpg
1,455,1,3.765492418076548,gigaPose_datasets/results/final_results/metrics/all_models/side_by_side_visuals/000001_000455_cars_side_by_side.jpg
1,460,1,2.067785473417251,gigaPose_datasets/results/final_results/metrics/all_models/side_by_side_visuals/000001_000460_cars_side_by_side.jpg
1,465,1,5.957026574045977,gigaPose_datasets/results/final_results/metrics/all_models/side_by_side_visuals/000001_000465_cars_side_by_side.jpg
1,470,1,2.661515862322073,gigaPose_datasets/results/final_results/metrics/all_models/side_by_side_visuals/000001_000470_cars_side_by_side.jpg
1,475,1,2.87488606066147,gigaPose_datasets/results/final_results/metrics/all_models/side_by_side_visuals/000001_000475_cars_side_by_side.jpg
1,480,1,4.540711155314183,gigaPose_datasets/results/final_results/metrics/all_models/side_by_side_visuals/000001_000480_cars_side_by_side.jpg
1,485,1,4.116611387977629,gigaPose_datasets/results/final_results/metrics/all_models/side_by_side_visuals/000001_000485_cars_side_by_side.jpg
1,490,1,2.4637277202878036,gigaPose_datasets/results/final_results/metrics/all_models/side_by_side_visuals/000001_000490_cars_side_by_side.jpg
1,495,1,15.478920563250131,gigaPose_datasets/results/final_results/metrics/all_models/side_by_side_visuals/000001_000495_cars_side_by_side.jpg
1,500,1,3.487028408059634,gigaPose_datasets/results/final_results/metrics/all_models/side_by_side_visuals/000001_000500_cars_side_by_side.jpg
